__ctr_start,00100000
EnPoField_WaitForSpawn,00108f6c
EnBili_DischargeLightning,001092c0
FUN_001094c0,001094c0
FUN_001096cc,001096cc
EnOkuta_WaitForShoot,0010990c
FUN_00109acc,00109acc
FUN_00109cfc,00109cfc
FUN_00109da0,00109da0
FUN_00109e3c,00109e3c
FUN_00109fc4,00109fc4
FUN_0010a084,0010a084
FUN_0010a380,0010a380
FUN_0010a4a4,0010a4a4
EnFloormas_Hover,0010a5c8
BgHakaShip_CutsceneStationary,0010a660
FUN_0010a6d8,0010a6d8
EnHeishi1_Kick,0010a8e4
FUN_0010a998,0010a998
EnCrow_Die,0010aa20
BgHidanFwbig_WaitForPlayer,0010ab74
FUN_0010abf8,0010abf8
EnFirefly_DisturbDiveAttack,0010ad18
EnDntJiji_Up,0010ade0
EnPoField_Appear,0010ae34
BgDyYoseizo_SpinGrow_NoReward,0010b0c4
FUN_0010b218,0010b218
FUN_0010b3b4,0010b3b4
FUN_0010b5d0,0010b5d0
FUN_0010b758,0010b758
BgGjyoBridge_SpawnBridge,0010b900
FUN_0010b970,0010b970
FUN_0010b9d0,0010b9d0
FUN_0010b9f8,0010b9f8
FUN_0010bdc8,0010bdc8
FUN_0010bdf0,0010bdf0
FUN_0010c160,0010c160
FUN_0010c808,0010c808
EnGe1_OpenGate_GateOp,0010c918
FUN_0010c9d8,0010c9d8
FUN_0010cb10,0010cb10
EnBom_WaitForRelease,0010cc34
BgHeavyBlock_LiftedUp,0010cc88
EnArrow_Shoot,0010cda8
FUN_0010cf2c,0010cf2c
FUN_0010cfd0,0010cfd0
FUN_0010d030,0010d030
FUN_0010d270,0010d270
EnDs_BrewOddPotion1,0010d560
FUN_0010d5e8,0010d5e8
EnDs_BrewOddPotion2,0010d678
FUN_0010d6b8,0010d6b8
EnDs_BrewOddPotion3,0010d738
FUN_0010d7d4,0010d7d4
FUN_0010d81c,0010d81c
FUN_0010d850,0010d850
EnGe2_WaitLookAtPlayer,0010d894
EnGe3_WaitLookAtPlayer,0010d990
FUN_0010da8c,0010da8c
EnGe3_GiveCard,0010db04
FUN_0010db7c,0010db7c
EnGe3_WaitTillCardGiven,0010dbd0
FUN_0010dc24,0010dc24
EnDs_Wait,0010dc58
EnFu_WaitChild,0010ddb8
FUN_0010ded0,0010ded0
FUN_0010e2ec,0010e2ec
DemoKankyo_DoNothing2,0010e498
EnJj_OpenMouth,0010e4ac
EnTr_CrySpellcast,0010e544
EnTr_ChooseAction1,0010e64c
ArrowIce_Fly,0010e804
ArrowFire_Fly,0010e930
ArrowLight_Fly,0010ea5c
ArrowIce_Hit,0010eb88
ArrowFire_Hit,0010ece4
ArrowLight_Hit,0010ee40
FUN_0010ef9c,0010ef9c
FUN_0010f308,0010f308
FUN_0010f380,0010f380
BgHeavyBlock_Fly,0010f524
EnJj_BeginCutscene,0010f8cc
FUN_0010f9b4,0010f9b4
OceffSpot_Wait,0010f9f0
OceffStorm_UnkAction,0010fa14
FUN_0010fa78,0010fa78
FUN_0010fb2c,0010fb2c
FUN_0010fb78,0010fb78
EnJj_WaitToOpenMouth,0010fbac
OceffSpot_End,0010fbd0
EnGe1_WaitUntilGateOpened_GateOp,0010fc98
FUN_0010fe18,0010fe18
FUN_0010feb0,0010feb0
ObjLightswitch_TurnOn,0010fec8
ObjLightswitch_TurnOff,0010ffdc
FUN_001100a0,001100a0
FUN_00110118,00110118
FUN_00110450,00110450
FUN_0011055c,0011055c
FUN_001105e0,001105e0
FUN_0011070c,0011070c
FUN_0011076c,0011076c
FUN_001107b0,001107b0
FUN_00110830,00110830
BgMoriKaitenkaby_WaitForMoriTex,0011088c
FUN_001108d8,001108d8
FUN_0011093c,0011093c
ObjLightswitch_Off,001109a4
ObjSwitch_FloorDown,00110a70
ObjSwitch_EyeClosed,00110bb4
FUN_00110c84,00110c84
FUN_00110c88,00110c88
BgJyaHaheniron_ChairCrumble,00110d70
FUN_00110e98,00110e98
FUN_00111020,00111020
FUN_00111140,00111140
FUN_001111a4,001111a4
FUN_001111e4,001111e4
FUN_00111254,00111254
FUN_001112c8,001112c8
FUN_00111320,00111320
FUN_00111374,00111374
FUN_00111470,00111470
FUN_00111cb0,00111cb0
EnSsh_Drop,00111cfc
FUN_00111e7c,00111e7c
FUN_00111ee8,00111ee8
FUN_00111f68,00111f68
FUN_00111fac,00111fac
FUN_00112050,00112050
FUN_001120f8,001120f8
EnGe2_ForceTalk,001121c4
EnGe3_Wait,0011230c
FUN_00112414,00112414
EnDs_Talk,00112484
FUN_001124c4,001124c4
FUN_00112544,00112544
FUN_00112564,00112564
FUN_00112594,00112594
FUN_0011260c,0011260c
FUN_001126f0,001126f0
EnBdfire_DrawFire,00112708
FUN_00112e88,00112e88
FUN_00112ef0,00112ef0
FUN_00112fcc,00112fcc
EnArowTrap_Update,00112fd0
EnDha_Update,00113050
EnfHG_Update,00113230
FUN_00113378,00113378
FUN_0011348c,0011348c
FUN_001135a0,001135a0
FUN_00113698,00113698
FUN_0011370c,0011370c
FUN_00113734,00113734
FUN_00113768,00113768
FUN_0011393c,0011393c
FUN_00114194,00114194
FUN_0011419c,0011419c
FUN_001141f4,001141f4
FUN_00114908,00114908
FUN_00114930,00114930
FUN_00114bd4,00114bd4
BuyEvent_ShieldDiscount,00114c04
FUN_00114c78,00114c78
EnSb_Lunge,00114cb8
EnSb_Bounce,00114d88
FUN_00114ee8,00114ee8
FUN_00114f78,00114f78
FUN_0011503c,0011503c
FUN_0011598c,0011598c
FUN_001167a4,001167a4
FUN_001167cc,001167cc
FUN_00116870,00116870
EnDs_TalkAfterBrewOddPotion,00116f48
EnDs_GiveOddPotion,00116fb4
EnDs_DisplayOddPotionText,00117014
EnMu_OverrideDrawLimb,0011706c
EnTg_OverrideLimbDraw,00117074
ItemEtcetera_Draw,0011707c
FUN_001170b8,001170b8
FUN_001172d4,001172d4
FUN_00117324,00117324
EnGo2_CurledUp,001173a4
FUN_0011770c,0011770c
EnGo2_ContinueRolling,00117744
FUN_001177b8,001177b8
EnFd_Reappear,00117d98
FUN_00117e44,00117e44
FUN_00117e54,00117e54
FUN_00118764,00118764
FUN_00118878,00118878
FUN_00118960,00118960
EnKz_StopMweep,00118a24
FUN_00118a70,00118a70
FUN_0011956c,0011956c
FUN_00119704,00119704
FUN_0011976c,0011976c
FUN_0011a014,0011a014
FUN_0011a1d4,0011a1d4
FUN_0011a364,0011a364
FUN_0011a548,0011a548
BossGoma_CeilingIdle,0011ab80
BossGoma_CeilingMoveToCenter,0011ad60
EnStream_SuckPlayer,0011af50
FUN_0011b150,0011b150
EnBili_SpawnedFlyApart,0011b228
FUN_0011b2bc,0011b2bc
FUN_0011b3f0,0011b3f0
BossFd2_ClawSwipe,0011b624
FUN_0011b6f8,0011b6f8
FUN_0011b9e8,0011b9e8
FUN_0011bb70,0011bb70
FUN_0011c3f4,0011c3f4
FUN_0011c4c8,0011c4c8
EnCrow_DiveAttack,0011c5a0
FUN_0011c7e0,0011c7e0
FUN_0011ca08,0011ca08
FUN_0011cbf0,0011cbf0
EnOkuta_Shoot,0011cd50
EnFirefly_DiveAttack,0011d068
FUN_0011d284,0011d284
FUN_0011d56c,0011d56c
EnFloormas_Charge,0011d6d8
EnHintnuts_ThrowNut,0011d7b0
EnShopnuts_ThrowNut,0011d914
EnTuboTrap_WaitForProximity,0011da78
EnTuboTrap_Fly,0011dab0
FUN_0011def4,0011def4
EnDodongo_SwallowBomb,0011e09c
FUN_0011e508,0011e508
EnGeldB_Damaged,0011fd4c
FUN_0011ff28,0011ff28
FUN_00120078,00120078
FUN_00120388,00120388
FUN_00120460,00120460
FUN_00120534,00120534
EnBili_Burnt,00120844
FUN_001208cc,001208cc
FUN_00120948,00120948
FUN_00120ad0,00120ad0
BossFd2_Vulnerable,00120b20
FUN_00120d7c,00120d7c
EnOkuta_WaitToDie,00120ed4
BossGoma_FloorDamaged,00120f38
FUN_00121024,00121024
EnFirefly_Fall,00121120
EnWallmas_TakeDamage,00121204
FUN_0012137c,0012137c
FUN_001213dc,001213dc
FUN_00121654,00121654
FUN_001218c4,001218c4
FUN_00121940,00121940
EnPoField_Damage,00121a70
FUN_00121ba0,00121ba0
BgHidanDalm_Shrink,00121c94
FUN_00121e10,00121e10
BgHakaTubo_DropCollectible,00122050
FUN_001222e8,001222e8
FUN_001223e4,001223e4
FUN_001224fc,001224fc
FUN_001226bc,001226bc
FUN_00122b7c,00122b7c
FUN_00123038,00123038
FUN_00123310,00123310
FUN_001233b0,001233b0
FUN_001234c4,001234c4
EnBili_SetNewHomeHeight,001235f0
EnCrow_TurnAway,00123658
FUN_001236dc,001236dc
EnFirefly_FlyAway,0012388c
EnWallmas_Walk,001239e0
FUN_00123adc,00123adc
FUN_00123ef4,00123ef4
FUN_00124124,00124124
EnHintnuts_Run,00124258
EnPoField_Flee,00124544
FUN_00124860,00124860
BossGoma_FallStruckDown,001249b0
FUN_00124ac8,00124ac8
BossGanondorf_Neutral,00124f14
FUN_001255e4,001255e4
FUN_00125700,00125700
FUN_00125798,00125798
FUN_00125830,00125830
FUN_00125a80,00125a80
FUN_00125bbc,00125bbc
FUN_00125d58,00125d58
FUN_00125d90,00125d90
FUN_00125e80,00125e80
FUN_00125ef4,00125ef4
FUN_00125f98,00125f98
FUN_00126060,00126060
FUN_00126304,00126304
FUN_0012632c,0012632c
FUN_00126438,00126438
FUN_00126694,00126694
FUN_00126758,00126758
FUN_00126840,00126840
FUN_0012697c,0012697c
FUN_00126ad4,00126ad4
EnKarebaba_Retract,00126d1c
BgDyYoseizo_SpinShrink,00126dd4
FUN_00126ec8,00126ec8
FUN_00126f50,00126f50
FUN_00127260,00127260
FUN_001273e8,001273e8
EnKarebaba_Spin,00127448
EnPoField_CirclePlayer,00127620
FUN_0012795c,0012795c
FUN_00127c04,00127c04
FUN_001280fc,001280fc
FUN_00128194,00128194
EnTuboTrap_Levitate,00128200
BossFd2_Idle,0012827c
FUN_001283e0,001283e0
FUN_00128704,00128704
FUN_00128734,00128734
BgHakaShip_ChildUpdatePosition,001287bc
FUN_0012880c,0012880c
FUN_001288fc,001288fc
FUN_00128c20,00128c20
FUN_00128e3c,00128e3c
FUN_00128f0c,00128f0c
FUN_00128f2c,00128f2c
FUN_001292d4,001292d4
FUN_00129474,00129474
FUN_00129f2c,00129f2c
FUN_00129fac,00129fac
FUN_0012a2e8,0012a2e8
EnGe2_TurnPlayerSpotted,0012a3f0
EnGe1_Wait_Archery,0012a540
EnGe1_TalkAfterGame_Archery,0012a5c8
EnGe1_GetReaction_GateGuard,0012a6c4
FUN_0012a76c,0012a76c
EnGe1_CheckGate_GateOp,0012a7b8
EnGe1_WatchForPlayerFrontOnly,0012a828
EnGe1_SetNormalText,0012a940
EnGe1_WatchForAndSensePlayer,0012a95c
EnGe1_GetReaction_ValleyFloor,0012aa84
FUN_0012aacc,0012aacc
FUN_0012aad0,0012aad0
FUN_0012ab7c,0012ab7c
FUN_0012adb4,0012adb4
EnIceHono_DropFlame,0012ae90
ObjSwitch_FloorUp,0012b0d8
ObjSwitch_EyeOpen,0012b2e8
FUN_0012b36c,0012b36c
FUN_0012b38c,0012b38c
ObjSwitch_CrystalOn,0012b3fc
FUN_0012b4d8,0012b4d8
FUN_0012b5d0,0012b5d0
FUN_0012b610,0012b610
ObjSwitch_FloorRelease,0012b6c8
FUN_0012b758,0012b758
FUN_0012b7a0,0012b7a0
FUN_0012b7e8,0012b7e8
EnIceHono_SmallFlameMove,0012b8c4
FUN_0012ba6c,0012ba6c
EnOwl_ConfirmKokiriMessage,0012bdec
FUN_0012be6c,0012be6c
FUN_0012bee0,0012bee0
FUN_0012bf54,0012bf54
FUN_0012bffc,0012bffc
FUN_0012c070,0012c070
FUN_0012c144,0012c144
FUN_0012c1b8,0012c1b8
FUN_0012c260,0012c260
FUN_0012c2d4,0012c2d4
FUN_0012c37c,0012c37c
FUN_0012c444,0012c444
FUN_0012c4e8,0012c4e8
FUN_0012c574,0012c574
FUN_0012c5f4,0012c5f4
FUN_0012c668,0012c668
FUN_0012c710,0012c710
FUN_0012c784,0012c784
FUN_0012c82c,0012c82c
FUN_0012c8d0,0012c8d0
FUN_0012c948,0012c948
FUN_0012ca40,0012ca40
FUN_0012cb98,0012cb98
FUN_0012cc10,0012cc10
FUN_0012ccdc,0012ccdc
FUN_0012cdb0,0012cdb0
FUN_0012cf7c,0012cf7c
FUN_0012cfac,0012cfac
FUN_0012cfec,0012cfec
FUN_0012d02c,0012d02c
FUN_0012d108,0012d108
DemoKankyo_UpdateDoorOfTime,0012d1fc
FUN_0012d298,0012d298
FUN_0012d2b0,0012d2b0
FUN_0012dcc0,0012dcc0
EnDs_OfferOddPotion,0012dd78
BossVa_Update,0012de30
FUN_0012e0b0,0012e0b0
FUN_0012e0c4,0012e0c4
DemoEc_Draw,0012e0ec
DemoEc_Update,0012e11c
DemoGj_Draw,0012e14c
DemoGj_Update,0012e174
DemoGt_Draw,0012e19c
DemoGt_Update,0012e1c4
DemoIk_Draw,0012e1ec
DemoIk_Update,0012e214
FUN_0012e264,0012e264
EnTest_Update,0012e2d0
EnTite_Update,0012ee3c
EnBird_Update,0012f4f0
EnTrap_Update,0012f508
EnFz_MoveTowardsPlayer,0012ffe4
FUN_0013002c,0013002c
FUN_00130098,00130098
FUN_00130104,00130104
FUN_001301a8,001301a8
FUN_001301fc,001301fc
FUN_0013037c,0013037c
FUN_001304d8,001304d8
FUN_00130b38,00130b38
FUN_00130c78,00130c78
EnMs_Wait,00130ca0
FUN_00130d80,00130d80
FUN_00130dc0,00130dc0
FUN_00131028,00131028
FUN_001310a0,001310a0
FUN_00131120,00131120
FUN_00131184,00131184
FUN_001311c8,001311c8
FUN_001311d0,001311d0
FUN_00131770,00131770
FUN_001317dc,001317dc
EnBubble_Pop,001321a8
EnBubble_Fly,001323c0
FUN_00132ad0,00132ad0
FUN_0013336c,0013336c
FUN_00133434,00133434
FUN_0013351c,0013351c
EnDog_FaceLink,00133544
FUN_00133620,00133620
FUN_00133688,00133688
EnGo2_SetGetItem,00133ebc
FUN_00133ff8,00133ff8
FUN_0013449c,0013449c
FUN_001344f0,001344f0
FUN_00134590,00134590
FUN_0013463c,0013463c
FUN_00134c8c,00134c8c
FUN_00134cec,00134cec
EnKz_StartTimer,00134d28
FUN_00134dbc,00134dbc
FUN_0013532c,0013532c
FUN_00135384,00135384
FUN_001358d0,001358d0
FUN_0013608c,0013608c
FUN_001363d0,001363d0
FUN_00136688,00136688
FUN_00136938,00136938
FUN_00136a84,00136a84
FUN_00136c68,00136c68
FUN_00136fc8,00136fc8
FUN_00137164,00137164
FUN_001374c0,001374c0
FUN_001375bc,001375bc
FUN_001379d0,001379d0
EnCrow_SetupTurnAway,00137cc8
BossFd2_Damaged,00137d74
EnGeldB_Block,00137eb4
FUN_00138158,00138158
FUN_0013832c,0013832c
FUN_00138500,00138500
FUN_00138560,00138560
FUN_001385c0,001385c0
BossFd2_Death,001386d4
FUN_00138e04,00138e04
FUN_00139b10,00139b10
FUN_0013a9b4,0013a9b4
FUN_0013bb74,0013bb74
FUN_0013cb28,0013cb28
FUN_0013cc04,0013cc04
FUN_0013d0a0,0013d0a0
EnGeldB_Advance,0013d0dc
FUN_0013d5d0,0013d5d0
FUN_0013da38,0013da38
FUN_0013dcc8,0013dcc8
FUN_0013df14,0013df14
FUN_0013df78,0013df78
FUN_0013dff8,0013dff8
FUN_0013e138,0013e138
FUN_0013e324,0013e324
FUN_0013e408,0013e408
EnHintnuts_Wait,0013e6a4
EnShopnuts_Wait,0013e940
FUN_0013ebdc,0013ebdc
FUN_0013ebe0,0013ebe0
FUN_0013ec58,0013ec58
FUN_0013f218,0013f218
FUN_0013f280,0013f280
BgDyYoseizo_SayFarewell_NoReward,0013f334
FUN_0013f400,0013f400
EnExItem_FairyMagic,0013f434
FUN_0013f448,0013f448
EnDntDemo_Prize,0013f44c
EnGeldB_RollForward,0013f4b0
FUN_0013f6b4,0013f6b4
FUN_0013f714,0013f714
FUN_0013f804,0013f804
EnKarebaba_Regrow,0013f8dc
BgIceTurara_Regrow,0013f984
FUN_0013f9c4,0013f9c4
EnBili_Recoil,0013fa50
EnFirefly_Rebound,0013faf8
FUN_0013fbd8,0013fbd8
FUN_0013fd24,0013fd24
EnDntJiji_Return,0013fe1c
FUN_0013ff98,0013ff98
EnWallmas_WaitForSwitchFlag,001401dc
FUN_00140218,00140218
FUN_001403a0,001403a0
FUN_00140d10,00140d10
FUN_00140f84,00140f84
FUN_0014111c,0014111c
FUN_001412b8,001412b8
EnBox_AppearAnimation,00141340
FUN_001413c8,001413c8
FUN_00141458,00141458
FUN_001419ac,001419ac
FUN_00141d40,00141d40
FUN_00141dd4,00141dd4
FUN_00141e6c,00141e6c
FUN_00141ebc,00141ebc
FUN_00141f24,00141f24
FUN_00142190,00142190
FUN_001423e0,001423e0
EnFu_WaitAdult,001426f8
DemoKankyo_DoNothing,00142890
FUN_00142894,00142894
FUN_00142ad8,00142ad8
FUN_00142ed4,00142ed4
FUN_00143158,00143158
FUN_00143374,00143374
ObjLightswitch_DisappearDelay,001433dc
ObjLightswitch_Disappear,00143418
FUN_001436c4,001436c4
FUN_00143768,00143768
FUN_00143800,00143800
FUN_0014390c,0014390c
FUN_00143a3c,00143a3c
FUN_00143a8c,00143a8c
EnHonotrap_FlameDrop,00143b28
EnHonotrap_FlameMove,00143c94
ObjSwitch_CrystalOff,00143f00
FUN_00144074,00144074
ObjSwitch_EyeOpening,00144128
FUN_001441b0,001441b0
ObjSwitch_FloorPress,00144228
FUN_00144348,00144348
EnHonotrap_EyeAttack,001443cc
EnHonotrap_EyeOpen,001443e8
EnHonotrap_EyeIdle,001444a4
FUN_00144574,00144574
FUN_0014459c,0014459c
ObjKibako_SetupIdle,001445d0
FUN_001445e8,001445e8
FUN_00144628,00144628
FUN_00144638,00144638
FUN_0014466c,0014466c
EnOwl_WaitOutsideKokiri,0014468c
EnOwl_WaitHyruleCastle,00144728
EnOwl_WaitKakariko,001447b0
EnOwl_WaitGerudo,00144838
EnOwl_WaitLakeHylia,001448c0
EnOwl_WaitZoraRiver,00144948
EnOwl_WaitHyliaShortcut,00144a0c
EnOwl_WaitDeathMountainShortcut,00144af8
EnOwl_WaitDesertColossus,00144c28
EnOwl_WaitLWPreSaria,00144cb0
EnOwl_WaitLWPostSaria,00144d34
EnDog_FollowLink,00144dbc
FUN_00144ee8,00144ee8
FUN_00144f3c,00144f3c
EnSsh_Land,00144f40
EnGe2_Stand,00145124
FUN_00145150,00145150
FUN_001452bc,001452bc
FUN_001453f8,001453f8
FUN_00145540,00145540
FUN_0014594c,0014594c
FUN_001459a8,001459a8
FUN_001459f4,001459f4
FUN_00145a4c,00145a4c
FUN_00145a6c,00145a6c
FUN_00145b60,00145b60
FUN_00145c0c,00145c0c
FUN_00145c3c,00145c3c
FUN_00145c6c,00145c6c
FUN_00145c9c,00145c9c
FUN_00145ca8,00145ca8
FUN_00145e54,00145e54
FUN_001466ac,001466ac
FUN_00146798,00146798
FUN_001467dc,001467dc
EnZo_Submerged,0014688c
FUN_0014690c,0014690c
FUN_001474bc,001474bc
FUN_001485f4,001485f4
FUN_00149298,00149298
FUN_00149340,00149340
DemoExt_Draw,001493a0
DemoExt_Update,001493c8
FUN_0014949c,0014949c
FUN_001494f0,001494f0
FUN_0014955c,0014955c
EnDns_Wait,001495f0
EnHorseNormal_Draw,0014968c
EnBb_Draw,00149af8
EnGeldB_Update,0014a04c
EnHorseGanon_Draw,0014a5a0
EnHorseZelda_Draw,0014a5a4
EnHorse_Update,0014a5a8
FUN_0014be68,0014be68
EnRd_Draw,0014bfb4
EnReeba_Update,0014c184
EnTp_Draw,0014c6dc
EnZf_Draw,0014c864
EnBombf_Update,0014caa8
EnDh_Draw,0014d15c
EnPubox_Update,0014d304
EnVm_Draw,0014d428
FUN_0014d56c,0014d56c
EnGirlA_InitializeItemAction,0014d5c8
FUN_0014d924,0014d924
FUN_0014d978,0014d978
FUN_0014d9e0,0014d9e0
FUN_0014da40,0014da40
EnMs_Sell,0014ed6c
EnMs_Talk,0014edf4
FUN_0014ef94,0014ef94
EnRr_CollisionCheck,0014efd8
EnSyatekiMan_BlinkWait,0014f73c
EnSb_WaitOpen,0014f76c
EnSb_Cooldown,0014f7f0
FUN_0014f84c,0014f84c
FUN_0014f978,0014f978
FUN_0014fbfc,0014fbfc
FUN_0014fe9c,0014fe9c
EnAni_PostLimbDraw,0014fec0
FUN_0014ff48,0014ff48
EnDaiku_PostLimbDraw,0014ffec
EnDaikuKakariko_PostLimbDraw,00150074
EnDs_PostLimbDraw,00150100
EnFu_PostLimbDraw,00150188
EnGe1_PostLimbDraw,00150210
EnGe2_PostLimbDraw,00150298
EnGe3_PostLimbDraw,00150324
EnHs_PostLimbDraw,00150370
EnHs2_PostLimbDraw,001503f8
EnHy_PostLimbDraw,00150480
EnKz_PostLimbDraw,00150514
EnMk_PostLimbDraw,0015055c
EnOwl_PostLimbUpdate,001505e4
FUN_0015064c,0015064c
FUN_0015074c,0015074c
EnZo_PostLimbDraw,001507e4
FUN_00150830,00150830
FUN_00150888,00150888
caseD_1,0015088c
FUN_001508c8,001508c8
FUN_00150c38,00150c38
FUN_00150cfc,00150cfc
FUN_00150d58,00150d58
FUN_001511a0,001511a0
FUN_001514f8,001514f8
FUN_00151fe4,00151fe4
FUN_001520b0,001520b0
FUN_00152130,00152130
EnKz_SetupMweep,001521c8
FUN_001522b4,001522b4
FUN_0015237c,0015237c
FUN_00152b30,00152b30
FUN_00153a50,00153a50
FUN_00153ccc,00153ccc
FUN_00153e3c,00153e3c
FUN_00153f84,00153f84
FUN_00154108,00154108
FUN_001542d0,001542d0
FUN_0015434c,0015434c
FUN_0015441c,0015441c
BgGndIceblock_Reset,001544b0
FUN_00154564,00154564
FUN_001545f0,001545f0
FUN_001546ec,001546ec
FUN_00154904,00154904
FUN_00154ba8,00154ba8
FUN_00154c10,00154c10
FUN_00154cb0,00154cb0
FUN_00154dac,00154dac
FUN_001551ac,001551ac
FUN_00155374,00155374
FUN_00155430,00155430
FUN_001555f4,001555f4
FUN_001558a4,001558a4
FUN_001563ec,001563ec
BossGanondorf_Paintings,0015643c
FUN_001565fc,001565fc
FUN_00156754,00156754
FUN_00156988,00156988
BgDyYoseizo_SetupGreetPlayer_NoReward,00156a6c
FUN_00156b70,00156b70
FUN_00156b98,00156b98
FUN_001570ac,001570ac
FUN_00157108,00157108
FUN_001571d8,001571d8
FUN_00157294,00157294
FUN_00157298,00157298
EnGeldB_Stunned,00157390
FUN_00157484,00157484
FUN_00157734,00157734
FUN_00157844,00157844
EnDodongo_Stunned,00157964
BgDyYoseizo_HealPlayer_NoReward,00157a34
FUN_00157ce4,00157ce4
EnPoRelay_Race,00157ec8
EnGeldB_Flee,00158360
FUN_001584a8,001584a8
FUN_00158508,00158508
EnCrow_Respawn,00158648
EnKarebaba_Grow,00158718
FUN_001587b0,001587b0
FUN_001589a8,001589a8
EnPoField_SoulInteract,00158aec
EnPoRelay_DisappearAndReward,00158c68
FUN_00159184,00159184
FUN_001596b8,001596b8
FUN_00159734,00159734
EnOkuta_Appear,001597b0
FUN_00159930,00159930
FUN_00159f64,00159f64
FUN_0015abf8,0015abf8
FUN_0015ad68,0015ad68
FUN_0015af24,0015af24
DoorAna_WaitClosed,0015b074
EnTr_ChooseAction2,0015b180
FUN_0015b3cc,0015b3cc
EnDoor_SetupType,0015b568
FUN_0015b794,0015b794
FUN_0015c004,0015c004
DoorShutter_SetupType,0015c158
FUN_0015c500,0015c500
FUN_0015c554,0015c554
FUN_0015c67c,0015c67c
FUN_0015cc5c,0015cc5c
FUN_0015cd7c,0015cd7c
BgTreemouth_DoNothing,0015d050
FUN_0015d054,0015d054
FUN_0015d0fc,0015d0fc
FUN_0015d150,0015d150
FUN_0015d1f0,0015d1f0
FUN_0015d388,0015d388
FUN_0015d56c,0015d56c
FUN_0015d708,0015d708
ObjMure2_Wait,0015ddb4
FUN_0015ddd4,0015ddd4
ObjSwitch_EyeClosing,0015dde4
FUN_0015de64,0015de64
FUN_0015deb4,0015deb4
FUN_0015df60,0015df60
FUN_0015e078,0015e078
FUN_0015e11c,0015e11c
FUN_0015e154,0015e154
FUN_0015e24c,0015e24c
EnIceHono_SpreadFlames,0015e294
EnHonotrap_FlameVanish,0015e590
EnHonotrap_Flame,0015e60c
BgJya1flift_DelayMove,0015e72c
FUN_0015e750,0015e750
EnFish_Dropped_FlopOnGround,0015e94c
FUN_0015ec70,0015ec70
FUN_0015ecf0,0015ecf0
EnHonotrap_EyeClose,0015ed68
BgJyaHaheniron_RubbleCollide,0015ed98
BgJyaHaheniron_PillarCrumble,0015ee44
FUN_0015eed0,0015eed0
FUN_0015eee0,0015eee0
FUN_0015f014,0015f014
FUN_0015f1e4,0015f1e4
FUN_0015f204,0015f204
FUN_0015f25c,0015f25c
FUN_0015f2cc,0015f2cc
EnDs_TalkAfterGiveOddPotion,0015f32c
